MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,JEYYAM,JEYYAM GLOBAL FOODS LTD,        57.25,        57.50,        59.35,        56.05,        57.85,                 14466800.00,250000, ,        67.50,        31.00
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        12.70,        12.45,        13.00,        12.40,        12.95,                   304800.00,24000, ,        37.15,        12.40
N,SM,JIWANRAM,JIWANRAM SHEODUTTRA IND L,         7.65,         7.60,         7.90,         7.60,         7.90,                   138600.00,18000, ,        19.25,         6.00
N,SM,JYOTIGLOBL,JYOTI GLOBAL PLAST LTD,        55.75,        55.70,        55.80,        54.75,        54.75,                   332500.00,6000, ,        67.00,        52.60
N,SM,K2INFRA,K2 INFRAGEN LIMITED,        61.15,        59.85,        64.20,        59.85,        64.10,                  4094850.00,64200, ,       283.60,        56.00
N,SM,KARNIKA,KARNIKA INDUSTRIES LTD,       180.00,       178.00,       178.70,       171.00,       173.95,                  2442900.00,14000, ,       973.00,       170.00
N,SM,KATARIA,KATARIA INDUSTRIES LTD,       104.95,       105.90,       106.50,       103.55,       106.50,                   506730.00,4800, ,       220.00,        90.50
N,SM,KAYTEX,KAYTEX FABRICS LIMITED,        99.00,        95.60,        99.00,        93.20,        95.30,                   766200.00,8000, ,       156.90,        91.15
N,SM,KCEIL,KAY CEE ENERGY & INFRA L,       215.70,       216.00,       224.60,       212.50,       214.35,                 15464725.00,71000, ,       418.75,       157.00
N,SM,KCK,KCK INDUSTRIES LTD,        43.90,        44.00,        46.90,        42.00,        42.75,                 33594875.00,757500, ,       324.50,        28.15
N,SM,KDL,KORE DIGITAL LIMITED,       228.90,       231.00,       233.25,       221.70,       226.65,                  3711562.50,16350, ,      2403.00,       213.95
N,SM,KEL,KUNDAN EDIFICE LIMITED,        98.50,        94.25,        95.25,        92.50,        92.85,                   788220.00,8400, ,       167.05,        81.00
N,SM,KEN,KEN ENTERPRISES LIMITED,        48.50,        48.10,        48.10,        47.45,        47.45,                   345240.00,7200, ,        85.00,        35.25
N,SM,KHFM,KHFM HOS FAC MANA SER LTD,        72.80,        73.25,        73.25,        73.25,        73.25,                   113537.50,1550, ,       123.95,        68.00
N,SM,KKJEWELS,KABRA JEWELS LIMITED,        93.65,        93.00,        93.00,        92.00,        92.00,                  1203300.00,13000, ,       265.00,        86.10
N,SM,KLL,KAUSHALYA LOGISTICS LTD,        62.60,        61.35,        63.25,        60.00,        60.05,                  1862120.00,30400, ,       143.00,        60.00
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       201.95,       205.45,       205.45,       200.05,       203.50,                   406540.00,2000, ,       310.00,       172.60
N,SM,KODYTECH,KODY TECHNOLAB LIMITED,       691.55,       695.00,       702.00,       609.90,       659.00,                 40169680.00,59900, ,      3610.00,       609.90
