Sectoral Index,Symbol,Spot,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost,M_o_M%,Next_M_o_M%
NIFTY IT,CAMS,3894.40,3910.50,16.10,94.05,87.10,0.64,0.42,6.94,0.23,-2.28,0
NIFTY IT,COFORGE,1831.70,1843.70,12.00,96.20,92.50,0.70,0.45,3.70,0.25,1.21,0
NIFTY IT,CYIENT,1103.60,1111.00,7.40,93.92,89.73,0.77,0.17,4.19,0.60,-7.08,0
NIFTY IT,HCLTECH,1601.10,1610.20,9.10,96.44,93.89,0.76,0.33,2.55,0.42,5.19,0
NIFTY IT,INFY,1530.60,1538.90,8.30,96.36,92.47,0.57,0.04,3.89,0.53,2.03,0
NIFTY IT,KPITTECH,1172.00,1178.70,6.70,95.76,87.45,0.64,0.32,8.31,0.32,-1.54,0
NIFTY IT,LTIM,5833.00,5875.50,42.50,95.62,94.42,0.69,-0.12,1.20,0.80,4.24,0
NIFTY IT,MPHASIS,2797.20,2810.00,12.80,89.37,89.52,0.70,0.49,-0.16,0.20,-1.19,0
NIFTY IT,OFSS,8084.00,8128.00,44.00,93.63,92.30,0.62,0.33,1.33,0.29,-6.02,0
NIFTY IT,PERSISTENT,6370.50,6405.50,35.00,89.79,91.01,0.24,0.54,-1.22,-0.30,9.33,0
NIFTY IT,TATAELXSI,5164.00,5193.50,29.50,91.13,91.12,0.54,-0.62,0.01,1.17,-6.87,0
NIFTY IT,TCS,3119.20,3135.50,16.30,97.07,93.06,0.73,0.37,4.01,0.36,2.00,0
NIFTY IT,TECHM,1494.70,1502.10,7.40,98.17,89.17,0.68,0.53,9.00,0.15,3.27,0
NIFTY IT,WIPRO,245.64,246.02,0.38,90.03,92.64,-0.07,-0.11,-2.61,0.04,1.34,0
NIFTY Industrial,ABB,5070.50,5067.00,-3.50,94.98,95.10,0.25,0.56,-0.12,-0.31,-2.03,0
NIFTY Industrial,CGPOWER,682.55,686.65,4.10,95.36,92.84,0.70,0.61,2.52,0.09,-5.53,0
NIFTY Industrial,CUMMINSIND,4311.30,4341.30,30.00,92.25,90.50,0.62,0.36,1.75,0.26,0.60,0
NIFTY Industrial,KEI,4071.50,4045.00,-26.50,91.10,85.26,-0.44,0.47,5.84,-0.91,0.19,0
NIFTY Industrial,SIEMENS,3181.10,3200.70,19.60,97.68,90.34,0.70,0.60,7.34,0.10,2.30,0
NIFTY Industrial,SOLARINDS,13267.00,13354.00,87.00,95.33,94.06,0.75,0.56,1.27,0.19,-4.23,0
NIFTY Industrial,SRF,2793.80,2810.50,16.70,94.40,93.60,0.64,0.63,0.80,0.01,-7.73,0
NIFTY Infrastructure,AMBUJACEM,545.85,548.55,2.70,96.20,94.19,0.73,0.55,2.01,0.18,-1.63,0
NIFTY Infrastructure,APLAPOLLO,1698.40,1706.80,8.40,94.90,92.88,0.68,0.54,2.02,0.14,-4.42,0
NIFTY Infrastructure,BHEL,282.90,284.70,1.80,88.13,92.64,0.51,0.46,-4.51,0.05,19.20,0
NIFTY Infrastructure,DALBHARAT,2019.90,2028.20,8.30,93.78,79.33,0.67,0.36,14.45,0.31,-5.08,0
NIFTY Infrastructure,ETERNAL,302.30,303.90,1.60,97.74,93.83,0.65,0.48,3.91,0.16,-9.65,0
NIFTY Infrastructure,GMRAIRPORT,104.21,104.74,0.53,86.07,96.36,0.72,0.63,-10.29,0.09,12.43,0
NIFTY Infrastructure,GRASIM,2686.80,2704.60,17.80,98.40,98.13,0.67,0.52,0.26,0.16,-8.39,0
NIFTY Infrastructure,HFCL,70.71,71.05,0.34,95.89,95.31,0.68,0.58,0.58,0.10,-6.54,0
NIFTY Infrastructure,INDHOTEL,726.50,729.90,3.40,95.18,93.11,0.74,0.69,2.07,0.05,-2.06,0
NIFTY Infrastructure,LT,3996.70,4021.30,24.60,97.11,88.88,0.70,0.50,8.23,0.20,0.60,0
NIFTY Infrastructure,NCC,173.23,174.07,0.84,90.07,91.51,0.73,0.50,-1.44,0.23,-17.75,0
NIFTY Infrastructure,RVNL,322.90,304.05,-18.85,98.01,93.59,-5.92,-1.39,4.42,-4.53,-1.81,0
NIFTY Infrastructure,SHREECEM,26455.00,26570.00,115.00,93.17,89.95,0.64,0.25,3.22,0.39,-7.45,0
NIFTY Infrastructure,ULTRACEMCO,11580.00,11637.00,57.00,95.61,94.67,0.67,0.48,0.94,0.20,-2.94,0
NIFTY Infrastructure,UPL,749.70,755.45,5.75,95.29,94.01,0.79,0.36,1.28,0.44,6.70,0
NIFTY Metal,ADANIENT,2332.90,2347.60,14.70,95.22,93.58,0.72,0.63,1.64,0.09,-6.47,0
NIFTY Metal,HINDALCO,789.35,792.60,3.25,97.88,95.25,0.48,0.42,2.63,0.06,-7.02,0
NIFTY Metal,HINDZINC,462.60,465.45,2.85,95.45,94.38,0.68,0.59,1.07,0.10,-1.83,0
NIFTY Metal,JINDALSTEL,1022.60,1029.80,7.20,87.61,89.53,0.59,0.46,-1.92,0.13,-4.74,0
NIFTY Metal,JSWSTEEL,1112.00,1119.60,7.60,98.48,97.36,0.71,0.55,1.11,0.17,-6.10,0
NIFTY Metal,NATIONALUM,253.97,255.70,1.73,93.29,91.57,0.78,0.39,1.72,0.39,7.27,0
NIFTY Metal,NMDC,72.70,73.22,0.52,89.84,93.14,0.62,0.38,-3.29,0.24,-2.59,0
NIFTY Metal,SAIL,132.25,132.80,0.55,90.42,92.64,0.66,0.26,-2.23,0.40,0.07,0
NIFTY Metal,TATASTEEL,166.33,167.20,0.87,93.91,89.26,0.68,0.58,4.65,0.09,-8.51,0
NIFTY Metal,VEDL,504.65,507.65,3.00,94.29,95.17,0.67,0.55,-0.88,0.12,0.44,0
NIFTY Oil & Gas,GAIL,180.22,181.13,0.91,89.50,92.94,0.59,0.48,-3.43,0.10,0.99,0
NIFTY Oil & Gas,HINDPETRO,455.25,458.50,3.25,97.49,85.48,0.66,0.39,12.01,0.27,0.69,0
NIFTY Oil & Gas,IOC,164.12,164.95,0.83,87.92,83.57,0.62,0.56,4.34,0.06,6.21,0
NIFTY Oil & Gas,OIL,421.05,422.70,1.65,85.04,85.19,0.46,0.22,-0.15,0.25,2.01,0
NIFTY Oil & Gas,ONGC,245.35,246.70,1.35,94.70,85.13,0.77,0.35,9.57,0.43,-2.07,0
NIFTY Oil & Gas,PETRONET,272.15,273.45,1.30,97.38,95.94,0.64,0.40,1.43,0.24,-2.05,0
NIFTY Oil & Gas,RELIANCE,1539.70,1547.60,7.90,92.42,94.53,0.75,0.55,-2.11,0.20,3.55,0
NIFTY Others (Thematic/Niche),INOXWIND,134.70,135.39,0.69,96.24,90.40,0.80,0.57,5.84,0.23,-12.13,0
NIFTY Others (Thematic/Niche),KAYNES,5777.50,5818.50,41.00,84.42,92.18,0.74,0.60,-7.75,0.13,-15.56,0
